SAMPLE;R1;R1-HCO;R1-HCO-clean;R1-LCO;R1-LCO-clean;R2;R2-HCO;R2-HCO-clean;R2-LCO;R2-LCO-clean;HCO-LCO;LCO-HCO;HCO-LCOsingle;LCO-HCOsingle;final
1_D.mel_I_2011_J;601968;4213;3999;15468;14550;668985;2988;2022;4097;2063;1279;1752;3504;13068;3031
2_D.im_I_2011_J;111717;2041;1888;9724;9045;151596;1473;885;1659;700;298;543;1992;8844;841
3_D.sub_I_2011_J;145960;2578;2369;11712;10569;186341;1914;1012;2362;741;412;859;2286;9863;1271
4_L.h_I_2011_J;159169;5387;5101;19186;18372;181343;4316;3028;5062;2906;1923;2568;4161;16264;4491
5_D.mel_G_2011_J;139082;3959;3737;13752;12991;156428;3031;1876;4791;2359;986;1509;4124;11849;2495
6_D.im_G_2011_J;340872;1952;1790;9332;8682;397419;1367;791;3154;1298;391;594;2306;8285;985
7_D.hydei_G_2011_J;77814;2734;2562;12948;11721;112522;2066;1059;2345;805;236;590;2895;11600;826
8_D.suzuki_G_2011_J;162545;4556;4289;14831;13385;177179;3365;1981;4275;1315;758;1592;4088;12182;2350
9_L.h_G_2011_J;155667;598;554;3253;3108;126699;547;354;822;471;197;298;631;2866;495
10_L.b_G_2011_J;141453;3702;3448;15313;13914;187038;3061;1738;4617;1685;809;1588;3515;12476;2397
11_D.mel_I_2011_S;111829;2303;2183;10354;9820;137172;1593;1142;1874;1010;686;920;1821;9122;1606
12_D.sim_I_2011_S;94434;1448;1356;10900;10094;98676;814;553;1469;569;243;385;1439;9877;628
13_D.im_I_2011_S;50139;2955;2741;14000;13052;65189;2015;1189;3010;1198;617;977;2705;12287;1594
14_D.sub_I_2011_S;123520;848;785;6308;5788;128572;526;301;1168;398;90;217;1003;5655;307
15_D.suzuki_I_2011_S;46485;6934;6559;11555;10282;61939;5287;3239;4996;1605;1362;2666;5440;8189;4028
16_D.sp??_I_2011_S;68036;5081;4755;18196;17103;79020;4078;2322;5107;2414;1525;2083;4119;15259;3608
17_L.h_I_2011_S;62538;1962;1842;12078;11142;79744;1940;1150;2429;991;411;887;2011;10518;1298
18_Trichopria_I_2011_S;415965;1032;959;2470;2193;696936;851;526;782;225;180;463;824;1793;643
19_Pachy_I_2011_S;65881;2889;2574;12804;11013;71396;2184;846;5634;1399;343;718;3287;10423;1061
20_D.mel_G_2011_S;110440;71;53;10417;9937;173662;114;45;1954;1193;4;28;1238;9926;32
21_D.sim_G_2011_S;151796;155;105;12760;11759;117928;235;79;2717;1110;3;57;1209;11724;60
22_D.im_G_2011_S;87742;241;130;12524;11659;82203;427;118;2548;1055;12;78;1161;11621;90
23_D.sub_G_2011_S;84146;93;53;7014;6395;102098;255;63;2681;1122;8;57;1159;6344;65
24_D.suzuki_G_2011_S;38088;216;141;11636;10550;37984;573;151;3253;1151;8;124;1276;10453;132
25_L.b_G_2011_S;35309;3473;3214;378;238;39054;3300;1925;304;40;14;17;3226;2129;31
26_Trichopria_G_2011_S;27724;96;86;2854;2483;31432;80;45;162;47;10;29;113;2470;39
27_D.mel_I_2012_J;26566;147;106;6771;6408;28510;347;108;1838;1066;22;68;1128;6380;90
28_D.im_I_2012_J;27396;75;46;7612;7123;30803;107;27;1313;590;2;14;632;7122;16
29_D.sub_I_2012_J;35154;245;166;14414;13275;24643;395;112;3392;1269;4;89;1427;13209;93
30_D.phalerata_I_2012_J;59363;231;149;17332;16319;56735;450;113;4644;2394;21;71;2501;16290;92
31_L.h_I_2012_J;25160;137;102;10375;9962;19453;267;79;2083;1275;16;64;1345;9913;80
32_D.mel_G_2012_J;31933;104;65;11109;10534;22938;211;77;2650;1589;10;61;1634;10489;71
33_D.im_G_2012_J;19259;97;66;9301;8757;14432;176;51;1415;648;3;31;708;8746;34
34_D.sub_G_2012_J;35863;371;239;18241;16727;25275;683;174;6111;2516;22;143;2711;16615;165
35_D.hydei_G_2012_J;24031;189;124;9400;8469;24916;485;127;3355;1137;12;91;1237;8414;103
36_L.h_G_2012_J;37131;110;72;11289;10853;33940;218;86;3067;2038;13;60;2084;10819;73
37_L.b_G_2012_J;34763;1421;1308;536;322;40269;1269;759;400;52;2;3;1356;1075;5
38_D.mel_I_2012_S;21185;206;139;9050;8504;16876;423;148;2306;1298;16;91;1405;8470;107
39_D.im_I_2012_S;40133;163;105;10538;9855;34827;263;75;1857;661;8;57;750;9816;65
40_D.sub_I_2012_S;35054;245;168;8553;7759;35802;492;138;2478;1065;13;86;1207;7725;99
41_D.hydei_I_2012_S;49105;301;182;16075;14351;38471;695;140;3903;1328;16;118;1478;14255;134
42_C.amoena_I_2012_S;44989;216;142;16762;15777;50270;504;150;5202;2685;21;121;2785;15685;142
43_L.h_I_2012_S;238867;105;80;12279;11850;228299;189;78;2070;1216;7;58;1282;11812;65
44_A.t_I_2012_S;132508;862;814;5541;4931;103669;614;364;2402;727;126;292;1289;4711;418
45_Trichopria_I_2012_S;35644;3050;2825;6014;5267;48618;2112;1371;2410;577;340;1104;2722;4430;1444
46_D.mel_G_2012_S;35650;202;128;20478;19542;20523;366;120;3736;2281;14;90;2381;19482;104
47_D.sim_G_2012_S;233235;316;230;16702;15652;226548;550;189;4635;2001;15;147;2201;15547;162
48_D.sub_G_2012_S;40308;62;39;6787;6292;39359;136;34;1293;553;3;30;586;6266;33
49_D.suzuki_G_2012_S;70414;127;88;15049;13980;97102;236;64;2097;862;4;34;942;13976;38
50_D.phalerata_G_2012_S;27404;151;93;13285;12438;20517;336;81;3662;1513;9;68;1588;12383;77
51_L.h_G_2012_S;52296;191;139;13589;13023;39678;330;116;2032;1196;17;83;1301;12973;100
52_L.b_G_2012_S;16581;7304;6816;530;282;16907;5815;3299;501;51;24;26;6819;3529;50
53_Trichopria_G_2012_S;9524;555;496;3026;2640;8488;489;322;424;132;79;224;470;2514;303
54_Pachy_G_2012_S;32722;380;323;1958;1662;35411;395;208;603;177;43;94;414;1682;137
55_D.im_G_2012_S;26357;82;48;14752;13926;15227;179;49;1960;832;1;30;878;13915;31
56_H2O__NA_;12431;0;;1;1;14866;0;;0;;0;0;0;1;0